Spoken Text,Formula ID,Latex,Audio Path,Spoken Text Version,Transcribed Text,LLM Predicted Latex,Similarity Score
"H of a, eta equals 152 b squared plus 539 delta ehlon plus 648 zeta squared.",673,"h(a, \eta) = 152 b^2 + 539\delta\epsilon + 648\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f673.mp3,1,"H of A, Ata equals 152B squared plus 539 ΔEln plus 648 Φ2.","\[
H(A,\text{Ata}) = 152B^2 + 539\Delta Eln + 648\Phi^2
\]",
"Phi of alpha, eta equals 936 b squared plus 316 delta ehlon plus 946 zeta squared.",674,"\phi(\alpha, \eta) = 936 b^2 + 316\delta\epsilon + 946\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f674.mp3,1,"Φ of α, η equals 936b² plus 316ΔL and plus 946 Φ².","\Phi(\alpha, \eta) = 936b^2 + 316 \Delta L + 946 \Phi^2",
"H of x, epsilon equals 306 epsilon squared plus 634 delta eflon plus 136 zeta squared.",675,"h(x, \epsilon) = 306 \epsilon^2 + 634\delta\epsilon + 136\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f675.mp3,1,"H of x, ε equals 306 ε2 plus 634 δF ln plus 136 Σ2","H(x, \varepsilon) = 306\varepsilon^{2} + 634\delta F \ln + 136\sum^{2}",
"H of alpha, gamma equals 413 gamma squared plus 96 delta ehlon plus 912 zeta squared.",676,"h(\alpha, \gamma) = 413 \gamma^2 + 96\delta\epsilon + 912\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f676.mp3,1,"H of α, γ equals 413 γ² plus 96 δλπ912 ζ²","H_{\alpha, \gamma} = 413\gamma^2 +96\delta\lambda\pi912 \zeta^2",
"F of z, zeta equals 503 gamma squared plus 354 delta eflon plus 249 zeta squared.",677,"f(z, \zeta) = 503 \gamma^2 + 354\delta\epsilon + 249\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f677.mp3,1,"f of z, zeta equals 503 γ² plus 354 δFλ plus 249 zeta²","f(z, \zeta) = 503\gamma^2 + 354\delta F\lambda + 249\zeta^2",
"Omega of b, eta equals 233 b squared plus 892 delta eomegalon plus 510 zeta squared.",678,"\omega(b, \eta) = 233 b^2 + 892\delta\epsilon + 510\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f678.mp3,1,ω of b—eta equals 233b² plus 892 δεω−1 plus 510 ζ²,\omega_{b} = 233b^{2} + 892\delta\epsilon\omega^{-1} + 510\zeta^{2},
"G of epsilon, eta equals 467 beta squared plus 886 delta eglon plus 30 zeta squared.",679,"g(\epsilon, \eta) = 467 \beta^2 + 886\delta\epsilon + 30\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f679.mp3,1,"G of ε, η equals 467 β2 plus 886 δ-egg-lon plus 30 β2.","G(\varepsilon, \eta) = 467 \beta^2 + 886 \delta - \epsilon + 30 \beta^2",
"H of y, eta equals 751 z squared plus 200 delta ephilon plus 395 zeta squared.",680,"h(y, \eta) = 751 z^2 + 200\delta\epsilon + 395\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f680.mp3,1,"H of y, eta equals 751z squared plus 200 δF along plus 395 ζ squared.","H(y, \eta) = 751z^2 + 200 \delta F_{\text{along}} + 395 \zeta^2",
"F of c, x equals 588 alpha squared plus 722 delta eglon plus 975 zeta squared.",681,"f(c, x) = 588 \alpha^2 + 722\delta\epsilon + 975\zeta^2",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f681.mp3,1,f of c. x equals 588α² plus 722 δ-eglom plus 975 ζ²,"f(c,x) = 588\alpha^2 + 722\delta - eglom + 975\zeta^2",
Zeta maps to Y.,682, \zeta \mapsto y,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f682.mp3,1,zeta maps to y,$\zeta \mapsto y$,
Eta maps to Delta.,683, \eta \mapsto \delta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f683.mp3,1,Ada maps to Delta,Ada \rightarrow \Delta,
Y maps to X.,684, y \mapsto x,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f684.mp3,1,Y maps to X,Y \rightarrow X,
X maps to Y.,685, x \mapsto y,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f685.mp3,1,X maps to Y.,X \rightarrow Y.,
C maps to C.,686, c \mapsto c,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f686.mp3,1,== See maps to see,\[ ==\],
X maps to Delta.,687, x \mapsto \delta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f687.mp3,1,X maps to delta.,X \mapsto \delta.,
B maps to Eta.,688, b \mapsto \eta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f688.mp3,1,B maps to Ata.,\[ B \rightarrow Ata \],
Z maps to C.,689, z \mapsto c,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f689.mp3,1,z maps to C,z \mapsto \mathbb{C},
Delta maps to Delta.,690, \delta \mapsto \delta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f690.mp3,1,Delta maps to Delta,$\Delta \to \Delta$,
Zeta maps to Delta.,691, \zeta \mapsto \delta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f691.mp3,1,zeta maps to delta.,"\begin{equation}
\zeta \mapsto \delta
\end{equation}",
B maps to Zeta.,692, b \mapsto \zeta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f692.mp3,1,B maps to Zeta,B \mapsto \zeta,
C maps to Delta.,693, c \mapsto \delta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f693.mp3,1,See maps to delta,$ f(x) \mapsto \delta $,
Y maps to X.,694, y \mapsto x,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f694.mp3,1,Y maps to X,Y \mapsto X,
B maps to Zeta.,695, b \mapsto \zeta,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f695.mp3,1,B maps to Zeta,B \rightarrow \zeta,
Eta maps to C.,696, \eta \mapsto c,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f696.mp3,1,Ada maps to C,\[ Ada \mapsto C \],
B maps to Epsilon.,697, b \mapsto \epsilon,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f697.mp3,1,B maps to Epsilon,$B \mapsto \varepsilon$,
Z maps to C.,698, z \mapsto c,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f698.mp3,1,z maps to C,z \rightarrow \mathbb{C},
Epsilon maps to A.,699, \epsilon \mapsto a,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f699.mp3,1,Epsilon maps to A,$\epsilon \: \mapsto \: A$,
Zeta maps to X.,700, \zeta \mapsto x,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f700.mp3,1,zeta maps to X.,\zeta \mapsto X,
A maps to X.,701, a \mapsto x,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f701.mp3,1,A maps to X.,\[ A \rightarrow X \],
The inner product of y and y equals epsilon times delta.,702,"\langle y, y \rangle = \epsilon \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f702.mp3,1,The inner product of y and y equals ε times δ.,"\langle y, y \rangle = \varepsilon \cdot \delta",
The inner product of alpha and alpha equals gamma times delta.,703,"\langle \alpha, \alpha \rangle = \gamma \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f703.mp3,1,The inner product of alpha and alpha equals gamma times delta.,"\langle \alpha, \alpha \rangle = \gamma \cdot \delta.",
The inner product of a and a equals a times delta.,704,"\langle a, a \rangle = a \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f704.mp3,1,The inner product of a and a equals a times delta.,"\langle a, a \rangle = a \cdot \delta",
The inner product of c and delta equals eta times delta.,705,"\langle c, \delta \rangle = \eta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f705.mp3,1,The inner product of c in Δ equals η times Δ.,"\langle c, \Delta \rangle = \eta \cdot \Delta",
The inner product of eta and delta equals gamma times delta.,706,"\langle \eta, \delta \rangle = \gamma \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f706.mp3,1,The inner product of eta and delta equals γ times δ.,"\langle \eta, \delta \rangle = \gamma \cdot \delta",
The inner product of y and zeta equals y times delta.,707,"\langle y, \zeta \rangle = y \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f707.mp3,1,The inner product of y and zeta equals y times delta.,"\langle y, \zeta \rangle = y \cdot \delta.",
The inner product of x and x equals x times delta.,708,"\langle x, x \rangle = x \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f708.mp3,1,The inner product of x and x equals x times delta.,"\langle x, x \rangle = x \cdot \delta",
The inner product of delta and x equals zeta times delta.,709,"\langle \delta, x \rangle = \zeta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f709.mp3,1,The inner product of δ and x equals θ times δ.,"\langle \delta, x \rangle = \theta \cdot \delta.",
The inner product of y and alpha equals y times delta.,710,"\langle y, \alpha \rangle = y \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f710.mp3,1,The inner product of y and alpha equals y times delta.,"\langle y, \alpha \rangle = y \cdot \delta",
The inner product of alpha and eta equals eta times delta.,711,"\langle \alpha, \eta \rangle = \eta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f711.mp3,1,The inner product of α and α equals α times δ.,"\langle \alpha, \alpha \rangle = \alpha \cdot \delta",
The inner product of eta and z equals zeta times delta.,712,"\langle \eta, z \rangle = \zeta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f712.mp3,1,The inner product of eta and z equals theta times delta.,"\langle \eta, z \rangle = \theta \cdot \delta",
The inner product of c and z equals c times delta.,713,"\langle c, z \rangle = c \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f713.mp3,1,The inner product of c and z equals c times delta,"$$\langle c,z \rangle = c \cdot \delta$$",
The inner product of a and eta equals alpha times delta.,714,"\langle a, \eta \rangle = \alpha \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f714.mp3,1,The inner product of Ionata equals alpha times delta.,"\langle Ionata, Ionata \rangle = \alpha \cdot \delta",
The inner product of a and a equals beta times delta.,715,"\langle a, a \rangle = \beta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f715.mp3,1,The inner product of a and a equals beta times delta.,"\langle a,a \rangle = \beta \cdot \delta",
The inner product of b and zeta equals c times delta.,716,"\langle b, \zeta \rangle = c \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f716.mp3,1,The inner product of B and zeta equals c times delta.,"\langle B, \zeta \rangle = c \cdot \delta",
The inner product of b and a equals x times delta.,717,"\langle b, a \rangle = x \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f717.mp3,1,The inner product of B and A equals x times delta.,"\langle B, A \rangle = x \cdot \delta.",
The inner product of z and zeta equals y times delta.,718,"\langle z, \zeta \rangle = y \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f718.mp3,1,The inner product of z and zeta equals y times delta.,"\langle z, \zeta \rangle = y \cdot \delta",
The inner product of z and alpha equals alpha times delta.,719,"\langle z, \alpha \rangle = \alpha \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f719.mp3,1,The inner product of z in α equals α times δ.,"\langle z,\alpha \rangle = \alpha \cdot \delta",
The inner product of c and c equals delta times delta.,720,"\langle c, c \rangle = \delta \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f720.mp3,1,The inner product of c and c equals delta times delta.,"\langle c, c \rangle = \delta \cdot \delta.",
The inner product of eta and y equals a times delta.,721,"\langle \eta, y \rangle = a \cdot \delta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f721.mp3,1,The inner product of eta and y equals a times delta.,"$\langle \eta, y \rangle = a \cdot \delta$",
The null hypothesis states that delta equals 335.,722,H_0 : \delta = 335,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f722.mp3,1,The null hypothesis states that Δ equals 335,H_0: \Delta = 335,
The null hypothesis states that alpha equals 159.,723,H_0 : \alpha = 159,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f723.mp3,1,The null hypothesis states that α equals 159.,$H_{0}: \alpha = 159$,
The null hypothesis states that b equals 809.,724,H_0 : b = 809,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f724.mp3,1,The null hypothesis states that B equals 809.,\[ H_{0}: B = 809 \],
The null hypothesis states that c equals 242.,725,H_0 : c = 7922,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f725.mp3,1,The null hypothesis states that c equals 242,\(H_{0}: c = 242\),
The null hypothesis states that z equals 402.,726,H_0 : z = 402,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f726.mp3,1,The null hypothesis states that z equals 402.,"\[
H_{0}: z = 402
\]",
The null hypothesis states that epsilon equals 557.,727,H_0 : \epsilon = 557,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f727.mp3,1,The null hypothesis states that Epsilon equals 557,\[H_0: \epsilon = 557\],
The null hypothesis states that epsilon equals 571.,728,H_0 : \epsilon = 571,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f728.mp3,1,The null hypothesis states that ε equals 571,"The null hypothesis is given by:
\epsilon = 571",
The null hypothesis states that z equals 335.,729,H_0 : z = 335,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f729.mp3,1,The null hypothesis states that z equals 335.,H_0: z = 335,
The null hypothesis states that z equals 664.,730,H_0 : z = 664,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f730.mp3,1,The null hypothesis states that z equals 664,H_0: z = 664,
The null hypothesis states that a equals 847.,731,H_0 : a = 847,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f731.mp3,1,The null hypothesis states that a equals 847,H_0: a = 847,
The null hypothesis states that delta equals 734.,732,H_0 : \delta = 734,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f732.mp3,1,The null hypothesis states that Δ equals 734,H_0: \Delta = 734,
The null hypothesis states that a equals 563.,733,H_0 : a = 563,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f733.mp3,1,The null hypothesis states that a equals 563,$H_0: a = 563$,
The null hypothesis states that zeta equals 500.,734,H_0 : \zeta = 500,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f734.mp3,1,The null hypothesis states that zeta equals 500.,$H_0: \zeta = 500$,
The null hypothesis states that y equals 90.,735,H_0 : y = 90,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f735.mp3,1,The null hypothesis states that y equals 90,H_0: y = 90,
The null hypothesis states that alpha equals 745.,736,H_0 : \alpha = 745,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f736.mp3,1,The null hypothesis states that α equals 745,$H_0: \alpha = 745$,
The null hypothesis states that epsilon equals 858.,737,H_0 : \epsilon = 858,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f737.mp3,1,The null hypothesis states that Epsilon equals 858,H_0: \varepsilon = 858,
The null hypothesis states that a equals 997.,738,H_0 : a = 997,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f738.mp3,1,The null hypothesis states that a equals 997,H_0: a = 997,
The null hypothesis states that eta equals 203.,739,H_0 : \eta = 203,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f739.mp3,1,The null hypothesis states that ADA equals 203.,H_0: ADA = 203,
The null hypothesis states that x equals 760.,740,H_0 : x = 760,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f740.mp3,1,The null hypothesis states that x equals 760,$H_0: x = 760$,
The null hypothesis states that delta equals 189.,741,H_0 : \delta = 189,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f741.mp3,1,The null hypothesis states that Δ equals 189.,$$H_{0}: \Delta = 189$$,
The alternative hypothesis is that y is not equal to 443.,742,H_a : y \neq 443,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f742.mp3,1,The alternative hypothesis is that y is not equal to 443.,H_a: y \neq 443,
The alternative hypothesis is that epsilon is not equal to 67.,743,H_a : \epsilon \neq 67,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f743.mp3,1,The alternative hypothesis is that ε is not equal to 67.,H_a: \epsilon \neq 67,
The alternative hypothesis is that alpha is not equal to 763.,744,H_a : \alpha \neq 763,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f744.mp3,1,The alternative hypothesis is that α is not equal to 763,"\[
H_1: \alpha \neq 763
\]",
The alternative hypothesis is that alpha is not equal to 313.,745,H_a : \alpha \neq 313,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f745.mp3,1,The alternative hypothesis is that α is not equal to 313,$H_a: \alpha \neq 313$,
The alternative hypothesis is that y is not equal to 288.,746,H_a : y \neq 4198,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f746.mp3,1,The alternative hypothesis is that y is not equal to 288.,\H_1 : y \neq 288,
The alternative hypothesis is that a is not equal to 518.,747,H_a : a \neq 518,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f747.mp3,1,The alternative hypothesis is that A is not equal to 518.,H_1: A \neq 518,
The alternative hypothesis is that alpha is not equal to 296.,748,H_a : \alpha \neq 296,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f748.mp3,1,The alternative hypothesis is that α is not equal to 296,H_1: \alpha \neq 296,
The alternative hypothesis is that x is not equal to 802.,749,H_a : x \neq 802,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f749.mp3,1,The alternative hypothesis is that x is not equal to 802.,$H_a: x \neq 802$,
The alternative hypothesis is that x is not equal to 180.,750,H_a : x \neq 180,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f750.mp3,1,The alternative hypothesis is that x is not equal to 180.,$H_1: x \neq 180$,
The alternative hypothesis is that z is not equal to 246.,751,H_a : z \neq 8346,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f751.mp3,1,The alternative hypothesis is that z is not equal to 246.,H_a: z \neq 246,
The alternative hypothesis is that b is not equal to 784.,752,H_a : b \neq 784,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f752.mp3,1,The alternative hypothesis is that B is not equal to 784,H_1: B \neq 784,
The alternative hypothesis is that alpha is not equal to 485.,753,H_a : \alpha \neq 485,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f753.mp3,1,The alternative hypothesis is that alpha is not equal to 485.,$$ H_a: \alpha \neq 485 $$,
The alternative hypothesis is that y is not equal to 143.,754,H_a : y \neq 143,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f754.mp3,1,The alternative hypothesis is that y is not equal to 143.,H_1: y \neq 143,
The alternative hypothesis is that y is not equal to 78.,755,H_a : y \neq 78,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f755.mp3,1,The alternative hypothesis is that y is not equal to 78.,\Hypothesis{H_1: y \neq 78},
The alternative hypothesis is that x is not equal to 785.,756,H_a : x \neq 785,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f756.mp3,1,The alternative hypothesis is that x is not equal to 785.,\(H_1: x \neq 785\),
The alternative hypothesis is that c is not equal to 270.,757,H_a : c \neq 6180,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f757.mp3,1,The alternative hypothesis is that c is not equal to 270.,H_1: c \neq 270,
The alternative hypothesis is that y is not equal to 338.,758,H_a : y \neq 338,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f758.mp3,1,The alternative hypothesis is that y is not equal to 338.,H_1: y \neq 338,
The alternative hypothesis is that alpha is not equal to 365.,759,H_a : \alpha \neq 365,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f759.mp3,1,The alternative hypothesis is that α is not equal to 365.,H_1: \alpha \neq 365,
The alternative hypothesis is that a is not equal to 191.,760,H_a : a \neq 191,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f760.mp3,1,The alternative hypothesis is that A is not equal to 191.,\[ H_1: A \neq 191 \],
The alternative hypothesis is that alpha is not equal to 998.,761,H_a : \alpha \neq 998,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f761.mp3,1,The alternative hypothesis is that α is not equal to 998.,$H_{1}: \alpha \neq 998$,
"T equals the average of c minus 237, divided by the standard deviation over the square root of n.",762,t = \frac{{\bar c} - 237}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f762.mp3,1,t == C bar −23. All over standard deviation divided by the square root of n,t = \frac{\bar{C} - 23}{\frac{\sigma}{\sqrt{n}}},
"T equals z-bar minus 960, all over sigma divided by the square root of n.",763,t = \frac{{\bar z} - 960}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f763.mp3,1,T == Z bar −23. All over standard deviation divided by the square root of n,"\begin{equation}
T = \frac{ \bar{Z} - 23 }{ \frac{ \sigma }{ \sqrt{n} } }
\end{equation}",
"T equals x bar minus 409, all over sigma divided by the square root of n.",764,t = \frac{{\bar x} - 409}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f764.mp3,1,"t == X bar −23, all over standard deviation divided by the square root of n",t = \frac{\bar{X} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals x bar minus 408, all over sigma divided by the square root of n.",765,t = \frac{{\bar x} - 408}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f765.mp3,1,"t == X bar −23, all over standard deviation divided by the square root of n",t = \frac{\bar{X} - 23}{\frac{\sigma}{\sqrt{n}}},
"T equals the difference between a-bar and 715, divided by sigma over the square root of n.",766,t = \frac{{\bar a} - 715}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f766.mp3,1,"T equals a bar minus 23, all over standard deviation divided by the square root of n.",T = \frac{\bar{a} - 23}{\sigma / \sqrt{n}},
"T equals x bar minus 453, all over sigma divided by the square root of n.",767,t = \frac{{\bar x} - 453}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f767.mp3,1,"t == X bar −23, all over standard deviation divided by the square root of n",t = \frac{\bar{X} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals delta bar minus 680, all over sigma divided by the square root of n.",768,t = \frac{{\bar \delta} - 680}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f768.mp3,1,"T == Δ bar − 23, all over standard deviation divided by the square root of n",T = \frac{\bar{\Delta} - 23}{\frac{\sigma}{\sqrt{n}}},
"T equals eta bar minus four hundred forty-one, all over sigma divided by the square root of n.",769,t = \frac{{\bar \eta} - 441}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f769.mp3,1,"t == Ata bar −23, all over standard deviation divided by the square root of n",t = \frac{A\bar{t} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals delta bar minus six hundred ten, all over sigma divided by the square root of n.",770,t = \frac{{\bar \delta} - 610}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f770.mp3,1,"T == Δ bar − 23, all over standard deviation divided by the square root of n",T = \frac{\bar{\Delta} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals the average of c minus 136, divided by the standard deviation over the square root of n.",771,t = \frac{{\bar c} - 136}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f771.mp3,1,t == C bar −23. All over standard deviation divided by the square root of n,t = \frac{\bar{C} - 23}{\frac{\sigma}{\sqrt{n}}},
"T equals epsilon bar minus eight hundred sixty-two, all over sigma divided by the square root of n.",772,t = \frac{{\bar \epsilon} - 862}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f772.mp3,1,"t == Epsilon bar-23, all over standard deviation divided by the square root of n",\[ t = \frac{\bar{\epsilon}-23}{\sigma / \sqrt{n}} \],
"T equals alpha bar minus 699, all over sigma divided by the square root of n.",773,t = \frac{{\bar \alpha} - 699}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f773.mp3,1,"t == α bar − 23, all over standard deviation divided by the square root of n",\[ t = \frac{\bar{\alpha} - 23}{\frac{\sigma}{\sqrt{n}}} \],
"T equals the average of c minus 684, divided by the standard deviation over the square root of n.",774,t = \frac{{\bar c} - 684}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f774.mp3,1,t == C bar −23. All over standard deviation divided by the square root of n,t = \frac{\bar{C} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals alpha bar minus seven hundred ninety-eight, all over sigma divided by the square root of n.",775,t = \frac{{\bar \alpha} - 798}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f775.mp3,1,"t == α bar − 23, all over standard deviation divided by the square root of n",t = \frac{\bar{\alpha} - 23}{\frac{\text{standard deviation}}{\sqrt{n}}},
"T equals b-bar minus 4838, all over sigma divided by the square root of n.",776,t = \frac{{\bar b} - 4838}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f776.mp3,1,t == b bar − 23. All over standard deviation divided by the square root of n,t = \frac{\bar{b} - 23}{\frac{sd}{\sqrt{n}}},
