Spoken Text,Formula ID,Latex,Audio Path,Spoken Text Version,Transcribed Text
"T equals delta bar minus 539, all over sigma divided by the square root of n.",777,t = \frac{{\bar \delta} - 539}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f777.mp3,1,"T == Δ bar − 23, all over standard deviation divided by the square root of n"
"T equals gamma bar minus 310, all over sigma divided by the square root of n.",778,t = \frac{{\bar \gamma} - 310}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f778.mp3,1,t == Gamma bar −23. All over standard deviation divided by the square root of n
"T equals the average of c minus 753, divided by the standard deviation over the square root of n.",779,t = \frac{{\bar c} - 753}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f779.mp3,1,t == C bar −23. All over standard deviation divided by the square root of n
"T equals Z bar minus 920, all over sigma divided by the square root of n.",780,t = \frac{{\bar z} - 920}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f780.mp3,1,T == Z bar −23. All over standard deviation divided by the square root of n
"T equals beta bar minus one hundred, all over sigma divided by the square root of n.",781,t = \frac{{\bar \beta} - 100}{\sigma/\sqrt{n}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f781.mp3,1,t == β bar − 23. All over standard deviation divided by the square root of n
"Chi square equals the sum of the square of the difference between observed and expected values, divided by the expected value.",782,\chi^2 = \sum \frac{({observed}-{expected})^2}{{expected}},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f782.mp3,1,Chi-square equals the sum of the square of the difference between observed and expected values. Divided by the expected value
"F of b, beta equals the double integral from zeta to eta of f of y, delta with respect to eflon and zeta.",783,"F(b, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f783.mp3,1,f of b . β equals the double integral from zeta to aeta of f of y . δ with respect to f ln and zeta . β is the double integral from zeta to aeta of y
"F of delta, c equals the double integral from zeta to eta of f of zeta, delta with respect to ehlon and zeta.",784,"F(\delta, c) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\zeta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f784.mp3,1,f of δ c is the double integral from ζ to η of ζ . Δ with respect to ln and ζ . ln f of δ c is the
"F of z, beta equals the double integral from zeta to eta of f of eta, delta with respect to epsilon and zeta.",785,"F(z, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\eta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f785.mp3,1,z. β equals the double integral from zeta to eta of f of eta. Δ with respect to ε and zeta
"F of y, eta equals the double integral from zeta to eta of f of eta, delta with respect to ehlon and zeta.",786,"F(y, \eta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\eta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f786.mp3,1,F of y. aeta equals the double integral from zeta to eta of F of eta. Delta with respect to ln and zeta
"F of c, b equals the double integral from zeta to eta of f of epsilon, delta with respect to eflon and zeta.",787,"F(c, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\epsilon,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f787.mp3,1,f c b == The double integral from zeta to eta of f of ε. Delta with respect to f-lon and zeta
"F of c, b equals the double integral from zeta to eta of f of c, delta with respect to eglon and zeta.",788,"F(c, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(c,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f788.mp3,1,f c b == The double integral from zeta to eta of f of c. Delta with respect to Eglon and zeta
"F of epsilon, alpha equals the double integral from zeta to eta of f of z, delta with respect to ehlon and zeta.",789,"F(\epsilon, \alpha) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(z,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f789.mp3,1,f ε α == The double integral from zeta to eta of f of z. Delta with respect to ln and zeta
"F of b, b equals the double integral from zeta to eta of f of z, delta with respect to ehlon and zeta.",790,"F(b, b) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(z,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f790.mp3,1,F b b equals the double integral from zeta to eta of F of z Δ with respect to ln and zeta e n 2 2 2 f z 2 2 e n 4 4 4 4 4 4 4 4 4 4
"F of delta, delta equals the double integral from zeta to eta of f of delta, delta with respect to epsilon and zeta.",791,"F(\delta, \delta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f791.mp3,1,◆ F Δ elét f Δ ε Δ Should ? Just lég δ
"F of c, beta equals the double integral from zeta to eta of f of beta, delta with respect to eglon and zeta.",792,"F(c, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\beta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f792.mp3,1,f c . β == The double integral from zeta to eta of f of beta. Δ with respect to eglon and zeta
"F of x, zeta equals the double integral from zeta to eta of f of gamma, delta with respect to eflon and zeta.",793,"F(x, \zeta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\gamma,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f793.mp3,1,f of x z {\displaystyle f of x.zeta equals the double integral from zeta to eta of f of gamma. delta with respect to f-lon and zeta
"F of b, x equals the double integral from zeta to eta of f of y, delta with respect to epsilon and zeta.",794,"F(b, x) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f794.mp3,1,f of B x equals the double integral from zeta to eta of f of y delta with respect to epsilon and zeta
"F of x, zeta equals the double integral from zeta to eta of f of zeta, delta with respect to epsilon and zeta.",795,"F(x, \zeta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\zeta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f795.mp3,1,f of x z {\displaystyle f of x.zeta equals the double integral from zeta to eta of f of zeta.Delta with respect to epsilon and zeta
"F of a, x equals the double integral from zeta to eta of f of epsilon, delta with respect to ehlon and zeta.",796,"F(a, x) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\epsilon,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f796.mp3,1,F of a. x equals the double integral from θ to εaeta of F of ε. Δ with respect to ln and θ
"F of alpha, a equals the double integral from zeta to eta of f of alpha, delta with respect to eglon and zeta.",797,"F(\alpha, a) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f797.mp3,1,f of α a equals the double integral from zeta to a d f of α
"F of c, z equals the double integral from zeta to eta of f of delta, delta with respect to epsilon and zeta.",798,"F(c, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f798.mp3,1,f c z {\displaystyle f of c.z equals the double integral from zeta to eta of f of delta.Delta with respect to epsilon and zeta
"F of z, epsilon equals the double integral from zeta to eta of f of delta, delta with respect to eglon and zeta.",799,"F(z, \epsilon) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f799.mp3,1,f of z ε equals the double integral from zeta to eta of f of delta. Delta with respect to Eglon and zeta
"F of alpha, y equals the double integral from zeta to eta of f of beta, delta with respect to epsilon and zeta.",800,"F(\alpha, y) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\beta,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f800.mp3,1,f of α y == The double integral from zeta to eta of f of β δ with respect to ε and zeta
"F of epsilon, z equals the double integral from zeta to eta of f of alpha, delta with respect to eglon and zeta.",801,"F(\epsilon, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f801.mp3,1,"f ε z {\displaystyle f of ε,z is the double integral from zeta to eta of f of alpha. delta with respect to Eglon and zeta"
"F of alpha, alpha equals the double integral from zeta to eta of f of alpha, delta with respect to ehlon and zeta.",802,"F(\alpha, \alpha) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\alpha,\delta) d\epsilon d\zeta",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f802.mp3,1,f of α . α equals the double integral from zeta to eta of f of α . Δ with respect to ln and zeta . α is the double integral from zeta to eta of
"The cross product of the vectors 153, 304, 926 and 507, 172, 852.",803,"[153,304,9507] \times [507,172,852]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f803.mp3,1,"The cross product of the vectors 153, 304, 926 and 507, 172, 852"
"The cross product of the vectors 595, 663, 146 and 655, 604, 9.",804,"[595,663,146] \times [655,604,9]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f804.mp3,1,"The cross product of the vectors 595, 663, 146 and 655, 604, 9"
"The cross product of the vectors 449, 94, 943 and 133, 880, 64.",805,"[449,94,943] \times [133,880,64]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f805.mp3,1,"The cross product of the vectors 449, 94, 943 and 133, 880, 64"
"The cross product of the vectors 365, 74, 404 and 668, 107, 519.",806,"[365,74,404] \times [668,107,519]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f806.mp3,1,"The cross product of the vectors 365, 74, 404 and 668, 107, 519."
"The cross product of the vectors 479, 844, 103 and 899, 59, 180.",807,"[479,844,103] \times [899,59,180]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f807.mp3,1,"The cross product of the vectors 479, 844, 103 and 899, 59, 180."
"The cross product of the vectors 372, 170, 120 and 739, 569, 209.",808,"[372,170,120] \times [739,569,209]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f808.mp3,1,"The cross product of the vectors 372, 170, 120 and 739, 569, 209."
"The cross product of the vectors 739, 522, 300 and 389, 661, 304.",809,"[739,522,300] \times [389,661,304]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f809.mp3,1,"The cross product of the vector 739, 522, 300 and 389, 661, 304."
"The cross product of the vectors 450, 368, 576 and 965, 609, 200.",810,"[450,368,576] \times [965,609,200]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f810.mp3,1,"The cross product of the vectors 450, 368, 576 and 965, 609, 200."
"The cross product of the vectors 577, 880, 576 and 787, 969, 162.",811,"[577,880,576] \times [787,969,162]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f811.mp3,1,"The cross product of the vectors 577, 880, 576 and 787, 969, 162"
"The cross product of the vectors 546, 403, 652 and 14, 742, 125.",812,"[546,403,652] \times [14,742,125]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f812.mp3,1,"The cross product of the vectors 546, 403, 652 and 14, 742, 125."
"The cross product of the vectors 911, 447, 661 and 40, 498, 775.",813,"[911,447,661] \times [40,498,775]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f813.mp3,1,"The cross product of the vectors 911, 447, 661 and 40, 498, 775"
"The cross product of the vectors 137, 875, 726 and 691, 310, 775.",814,"[137,875,7691] \times [691,310,775]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f814.mp3,1,"The cross product of the vectors 137, 875, 726 and 691, 310, 775."
"The cross product of the vectors 367, 514, 448 and 269, 491, 258.",815,"[367,514,448] \times [269,491,258]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f815.mp3,1,"The cross product of the vectors 367, 514, 448 and 269, 491, 258."
"The cross product of the vectors 895, 278, 49 and 393, 886, 718.",816,"[895,8868,49] \times [393,886,718]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f816.mp3,1,"The cross product of the vectors 895, 278, 49 and 393, 886, 718"
"The cross product of the vectors 272, 978, 360 and 706, 877, 578.",817,"[8772,978,360] \times [706,877,578]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f817.mp3,1,"The cross product of the vectors 272, 978, 360 and 706, 877, 578."
"The cross product of the vectors 106, 800, 213 and 450, 206, 869.",818,"[106,800,213] \times [450,206,869]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f818.mp3,1,"The cross product of the vectors 106, 800, 213 and 450, 206, 869."
"The cross product of the vectors 890, 879, 829 and 271, 338, 180.",819,"[890,879,829] \times [3381,338,180]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f819.mp3,1,"The cross product of the vectors 890, 879, 829 and 271, 338, 180."
"The cross product of the vectors 336, 739, 485 and 160, 546, 86.",820,"[336,739,485] \times [160,546,86]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f820.mp3,1,"The cross product of the vectors 336, 739, 485 and 160, 546, 86"
"The cross product of the vectors 52, 837, 27 and 845, 748, 168.",821,"[52,837,748] \times [845,748,168]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f821.mp3,1,"The cross product of the vectors 52, 837, 27 and 845, 748, 168."
"The cross product of the vectors 617, 395, 564 and 279, 6, 64.",822,"[617,395,564] \times [69,6,64]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f822.mp3,1,"The cross product of the vector 617, 395, 564 and 279, 6, 64"
Rank of the given matrix A.,1,\text{{Rank}}(A),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f1.mp3,2,Rank of the given matrix A
Nullity of the matrix A.,2,\text{{Nullity}}(A),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f2.mp3,2,Nullity of the matrix A
,3,p(z) = 314 + 122v + 355b^2 + \cdots + 444b^n,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f3.mp3,2,The probability of a variable is equal to a number plus another number times the variable. Plus another number times the variable squared. Continuing in this pattern up to the variable raised to the power of n. Each time multiplied by a different number.
The vector of force is equal to the mass multiplied by the vector of acceleration.,4,\vec{F} = m\vec{\alpha},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f4.mp3,2,The vector of force is equal to the mass times the vector of acceleration.
E equals m c squared.,5,E = m{c}^2,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f5.mp3,2,Energy is equal to mass multiplied by the square of the speed of light.
,6,"i\hbar\frac{\partial}{\partial t}\Psi(c,t) = \hat{H}\Psi(i,t)",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f6.mp3,2,"The product of i, h bar, and the time derivative of psi equals the Hamiltonian operator acting on psi"
S is equal to pi multiplied by the square of the radius.,7,S = \pi {radius}^2,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f7.mp3,2,S is equal to π multiplied by the square of the radius.
The volume is four thirds of pi times the cube of the radius.,8,V = \frac{4}{3}\pi {radius}^3,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f8.mp3,2,The volume is 4 3rds of pi times the cube of the radius.
The square of sine m plus the square of cosine l is equal to one.,9,\sin^2(m) + \cos^2(l) = 1,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f9.mp3,2,The square of the sign of a variable plus the square of the cosine of the same variable is equal to 1
,10,248^3 + 143^3 = (204 + 164)^3 - 3265416(391 + 88),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f10.mp3,2,The third power of one number plus the third power of a second number equals the third power of their sum. Subtracted by three times the product of these two numbers and their sum
,11,P(E1 | E2) = \frac{P(E2 | E1)P(E1)}{P(E2)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f11.mp3,2,The conditional probability of event 1 given event 2 is equal to the conditional probability of event 2 given event 1 multiplied by the probability of event 1 and then divided by the probability of event 2.
,12,P(E1 | E2) = \frac{P(E1 \cap E2)}{P(E2)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f12.mp3,2,The conditional probability of event 1 given event 2 is equal to the joint probability of event 1 and event 2 divided by the probability of event 2.
"The probability of E1 is equal to the sum, over all n, of the conditional probability of E1 given event n, multiplied by the probability of event n.",13,P(E1) = \sum_{n} P(E1 | {eventn})P({eventn}),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f13.mp3,2,The probability of the first event is equal to the sum over all n of the conditional probability of the first event given the nth event multiplied by the probability of the nth event.
E of X is the sum of each x sub i times the probability that X equals x sub i.,14,E(X) = \sum x_iP(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f14.mp3,2,e of x is the sum of each x-sub i times the probability that x equals x-sub i
"Variance of X is calculated by summing up the squared differences between each x value and the mean, each multiplied by the probability of X being equal to that x value.",15,Var(X) = \sum (x_i - \mu)^2P(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f15.mp3,2,Variance of x is calculated by summing up the squared differences between each x-value and the mean. Each multiplied by the probability of x being equal to that x-value.
Sigma is the square root of the variance of X.,16,\sigma = \sqrt{Var(X)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f16.mp3,2,sigma is the square root of the variance of x.
"For any x in the set X, the probability of X being equal to x equals the probability of the event.",17,P(X=x) = P({event}) for x \in X,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f17.mp3,2,"For any x in the set X, the probability of X being equal to X equals the probability of the event."
"F of x is the probability that X is less than or equal to x, and this is equal to the sum of the probabilities of X being equal to each x sub i, where x sub i is less than or equal to x.",18,F(x) = P(X \le x) = \sum_{x_i \le x} P(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f18.mp3,2,f of x is the probability that x is less than or equal to x. And this is equal to the sum of the probabilities of x being equal to each x sub i. Where x sub i is less than or equal to x
"P of X equals k equals e to the negative lambda times lambda raised to the k, divided by the factorial of k.",19,P(X=k) = \frac{e^{-\lambda}\lambda^k}{k!},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f19.mp3,2,p of x equals k equals e to the negative lambda times lambda raised to the k. Divided by the factorial of k
P of X equals k equals the combination of n and k times p raised to the k times one minus p raised to the n minus k.,20,P(X=k) = \binom{n}{k}p^k(1-p)^{n-k},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f20.mp3,2,p of x equals k equals the combination of n and k times p raised to the k times 1 minus p raised to the n minus k
"The function of x is equal to one over sigma times the square root of two pi, times e raised to the negative one-half times the square of the quantity x minus mu over sigma.",21,f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f21.mp3,2,The function of x is equal to 1 over σ times the square root of 2π. Times e raised to the negative one-half times the square of the quantity x − μ over σ.
The probability of the absolute difference between X and mu being at least k standard deviations is at most one over k squared.,22,P(|X-\mu| \ge k\sigma) \le \frac{1}{k^2},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f22.mp3,2,The probability of the absolute difference between x and mu being at least k standard deviations is... at most 1 over k squared.
X bar n is distributed normally with mean mu and variance sigma squared divided by n.,23,"\bar{X}_n \sim N(\mu, \frac{\sigma^2}{n})",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f23.mp3,2,X bar n is distributed normally with mean mu and variance sigma squared divided by n
"As n goes to infinity, the probability that the absolute value of the difference between the sample mean X-bar n and the population mean mu exceeds epsilon, is zero.",24,lim_{n\to\infty} P(|\bar{X}_n - \mu| > \epsilon) = 0,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f24.mp3,2,as n goes to infinity. The probability that the absolute value of the difference between the sample mean x bar n and the population mean mu exceeds ε. Is zero
Covariance of X and Y is the expectation of the product of the deviations of X and Y from their respective means.,25,"Cov(X,Y) = E[(X-\mu_X)(Y-\mu_Y)]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f25.mp3,2,Covariance of X and Y is the expectation of the product of the deviations of X and Y from their respective means.
"Rho sub X, Y is equal to the covariance of X and Y over the product of the standard deviations of X and Y.",26,"\rho_{X,Y} = \frac{Cov(X,Y)}{\sigma_X \sigma_Y}",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f26.mp3,2,ρ sub x. y is equal to the covariance of x and y over the product of the standard deviations of x and y.
The conditional expectation of X given Y equals y is the sum of x times the conditional probability of X equals x given Y equals y.,27,E(X|Y=y) = \sum x P(X=x | Y=y),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f27.mp3,2,The conditional expectation of x given y equals y is the sum of x times the conditional probability of x equals x given y equals y
"f sub X of x equals the integral from negative infinity to positive infinity of f sub X, Y of x, y, dy.",28,"f_X(x) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dy",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f28.mp3,2,f sub x of x equals the integral from negative infinity to positive infinity of f sub x y of x y d i
The intersection of event one and event two's probabilities is the product of the individual probabilities of event one and event two.,29,P(E1 \cap E2) = P(E1)P(E2),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f29.mp3,2,The probability of both event 1 and event 2 happening is the product of the probability of event 1 and the probability of event 2.
The probability of X and Y both occurring is the product of the probability of X occurring and the probability of Y occurring given that X has occurred.,30,"P(X=x, Y=y) = P(X=x)P(Y=y | X=x)",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f30.mp3,2,The probability of X and Y both occurring is the product of the probability of X occurring in the probability of Y occurring given that X has occurred.
"Add 531 and 905, you get forty-seven.",31,531 + 905 = 488,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f31.mp3,2,Add 531 and 905. You get 47.
"Add 701 and 777, you get forty-seven.",32,701 + 777 = 799,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f32.mp3,2,Add 701 and 777. You get 47.
"Add 673 and 754, you get forty-seven.",33,673 + 754 = 536,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f33.mp3,2,"Add 673 and 754, you get 47."
"Add 527 and 97, you get forty-seven.",34,5912 + 97 = 932,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f34.mp3,2,"Add 527 and 97, you get 47."
"Add 552 and 616, you get forty-seven.",35,552 + 616 = 833,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f35.mp3,2,"Add 552 and 616, you get 47."
"Add 564 and 560, you get forty-seven.",36,564 + 560 = 8,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f36.mp3,2,"Add 564 and 560, you get 47."
"Add 188 and 989, you get forty-seven.",37,188 + 989 = 391,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f37.mp3,2,"Add 188 and 989, you get 47."
"Add 707 and 740, you get forty-seven.",38,707 + 740 = 200,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f38.mp3,2,"Add 707 and 740, you get 47."
"Add 25 and 634, you get forty-seven.",39,486 + 634 = 486,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f39.mp3,2,"Add 25 and 634, you get 47."
"Add 605 and 241, you get forty-seven.",40,605 + 241 = 7918,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f40.mp3,2,Add 605 and 241. You get 47.
"Add 751 and 904, you get forty-seven.",41,751 + 904 = 51,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f41.mp3,2,"Add 751 and 904, you get 47."
"Add 153 and 267, you get forty-seven.",42,153 + 847 = 982,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f42.mp3,2,"Add 153 and 267, you get 47."
"Add 736 and 532, you get forty-seven.",43,736 + 532 = 37,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f43.mp3,2,"Add 736 and 532, you get 47."
"Add 985 and 514, you get forty-seven.",44,985 + 514 = 2414,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f44.mp3,2,"Add 985 and 514, you get 47."
"Add 399 and 921, you get forty-seven.",45,399 + 921 = 523,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f45.mp3,2,"Add 399 and 921, you get 47."
"Add 342 and 2, you get forty-seven.",46,342 + 2 = 769,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f46.mp3,2,"Add 342 and 2, you get 47."
"Add 497 and 417, you get forty-seven.",47,497 + 417 = 124,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f47.mp3,2,"Add 497 and 417, you get 47."
"Add 119 and 889, you get forty-seven.",48,119 + 889 = 380,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f48.mp3,2,"Add 119 and 889, you get 47."
"Add 287 and 243, you get forty-seven.",49,5637 + 243 = 607,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f49.mp3,2,"Add 287 and 243, you get 47."
"Add 496 and 795, you get forty-seven.",50,496 + 795 = 785,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f50.mp3,2,Add 496 and 795. You get 47.
"If you subtract 189 from 161, you get negative one.",51,161 - 189 = 951,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v2_f51.mp3,2,"If you subtract 189 from 161, you get negative 1."
