id;Latex;English 1;English 2;English 3
398;\frac{dy}{d \epsilon} = \phi'(\alpha);The derivative of y with respect to epsilon equals the derivative of phi at alpha.;dy by d epsilon is equal to the derivative of phi at the point alpha.;The rate of change of y with respect to epsilon is the derivative of phi evaluated at alpha.
399;\frac{dy}{d \epsilon} = \phi'(\delta);The derivative of y with respect to epsilon equals the derivative of phi with respect to delta.;dy over d epsilon is equal to the derivative of phi at delta.;The rate of change of y with respect to epsilon is equal to the rate of change of phi with respect to delta.
400;\frac{dy}{d b} = g'(\epsilon);The derivative of y with respect to b equals the derivative of g at epsilon.;dy over db is equal to the derivative of g evaluated at epsilon.;The rate of change of y with respect to b is the derivative of g at the point epsilon.
401;\frac{dy}{d b} = g'(\beta);The derivative of y with respect to b equals the derivative of g with respect to beta.;dy over db is equal to the derivative of g at beta.;The rate of change of y with respect to b is the derivative of g at beta.
402;\frac{dy}{d \epsilon} = \phi’(\delta);The derivative of y with respect to epsilon equals the derivative of phi at delta.;dy by d epsilon is equal to the derivative of phi at delta.;The rate of change of y with respect to epsilon is the derivative of phi evaluated at delta.
403;\frac{dy}{d \alpha} = g'(\eta);The derivative of y with respect to alpha equals the derivative of g at eta.;dy by d alpha is equal to the prime of g at eta.;The rate of change of y with respect to alpha is the derivative of g evaluated at eta.
404;\frac{dy}{d z} = f'(a);The derivative of y with respect to z equals the derivative of f at a.;dy over dz is equal to the derivative of f evaluated at a.;The rate of change of y with respect to z is the derivative of the function f at the point a.
405;\frac{dy}{d \epsilon} = g'(\epsilon);The derivative of y with respect to epsilon equals the derivative of g with respect to epsilon.;dy by d epsilon is equal to the derivative of g at epsilon.;The rate of change of y with respect to epsilon is the derivative of g at epsilon.
406;\frac{dy}{d \zeta} = g'(\beta);The derivative of y with respect to zeta equals the derivative of g with respect to beta.;dy by d zeta is equal to the derivative of g at beta.;The rate of change of y with respect to zeta is equal to the rate of change of g at beta.
407;\frac{dy}{d \delta} = f'(\alpha);The derivative of y with respect to delta equals the derivative of f at alpha.;dy over d delta is equal to the derivative of f at the point alpha.;The rate of change of y with respect to delta is the derivative of the function f evaluated at alpha.
408;\frac{dy}{d b} = \phi'(a);The derivative of y with respect to b equals the derivative of phi at a.;dy over db is equal to the derivative of phi evaluated at a.;The rate of change of y with respect to b is the derivative of the function phi at the point a.
409;\frac{dy}{d \eta} = f’(\beta);The derivative of y with respect to eta equals the derivative of f with respect to beta.;dy by d eta is equal to the derivative of the function f at beta.;The rate of change of y with respect to eta is equal to the rate of change of function f at beta.
410;\frac{dy}{d \epsilon} = h'(a);The derivative of y with respect to epsilon equals the derivative of h at a.;dy by d epsilon is equal to the derivative of h evaluated at a.;The rate of change of y with respect to epsilon is the derivative of h at point a.
411;\frac{dy}{d \alpha} = h'(\epsilon);The derivative of y with respect to alpha equals the derivative of h at epsilon.;dy by d alpha is equal to the prime of h at epsilon.;The rate of change of y with respect to alpha is the derivative of h evaluated at epsilon.
412;\frac{dy}{d c} = {\phi'(a);The derivative of y with respect to c equals the derivative of phi at a.;dy by dc is equal to the derivative of phi evaluated at a.;The rate of change of y with respect to c is the derivative of phi at point a.
413;\frac{dy}{d \epsilon} = {\phi'(\epsilon);The derivative of y with respect to epsilon equals the derivative of phi with respect to epsilon.;dy by d epsilon is equal to the derivative of phi with respect to epsilon.;The rate of change of y with respect to epsilon is equal to the rate of change of phi with respect to epsilon.
414;\frac{dy}{d c} = {\psi'(\eta);The derivative of y with respect to c equals the derivative of psi with respect to eta.;dy over dc is equal to the prime of psi at eta.;The rate of change of y with respect to c is equal to the rate of change of psi with respect to eta.
415;\frac{dy}{d b} = {\phi'(\eta);The derivative of y with respect to b equals the derivative of phi with respect to eta.;dy over db is equal to the derivative of phi of eta.;The rate of change of y with respect to b is equal to the rate of change of phi with respect to eta.
416;c \equiv 989 \mod{n};C is congruent to 989 modulo n.;C is equivalent to 989 under modulo n.;C equals 989 mod n.
417;b \equiv 38 \mod{n};B is congruent to 38 modulo n.;B is equivalent to 38 under modulo n.;B equals 38 mod n.
418;\delta \equiv 311 \mod{n};Delta is congruent to three hundred eleven modulo n.;Delta is equivalent to three hundred eleven, mod n.;Delta equals three hundred eleven in modulo n.
419;\delta \equiv 636 \mod{n};Delta is equivalent to 636 modulo n.;Delta is congruent to 636 mod n.;Delta is defined as 636 modulo n.
420;\delta \equiv 223 \mod{n};Delta is congruent to two hundred twenty-three modulo n.;Delta is equivalent to two hundred twenty-three under modulo n.;Delta equals two hundred twenty-three in modulo n.
421;\eta \equiv 596 \mod{n};Eta is congruent to five hundred and ninety-six modulo n.;Eta is equivalent to five hundred and ninety-six under modulo n.;Eta equals five hundred and ninety-six mod n.
422;x \equiv 784 \mod{n};X is congruent to 784 modulo n.;X is equivalent to 784 under modulo n.;X equals 784 mod n.
423;\eta \equiv 5520 \mod{n};Eta is congruent to five thousand five hundred twenty modulo n.;Eta is equivalent to five thousand five hundred twenty under modulo n.;Eta is defined as five thousand five hundred twenty mod n.
424;\epsilon \equiv 440 \mod{n};Epsilon is congruent to 440 modulo n.;Epsilon is equivalent to 440 under modulo n.;Epsilon equals 440 mod n.
425;\epsilon \equiv 610 \mod{n};Epsilon is congruent to 610 modulo n.;Epsilon is equivalent to 610 under modulo n.;Epsilon equals 610 mod n.
426;\delta \equiv 654 \mod{n};Delta is equivalent to 654 modulo n.;Delta is congruent to 654 under modulo n.;Delta is defined as 654 mod n.
427;x \equiv 892 \mod{n};X is congruent to 892 modulo n.;X is equivalent to 892 under modulo n.;X equals 892 mod n.
428;x \equiv 806 \mod{n};X is congruent to 806 modulo n.;X is equivalent to 806 under modulo n.;X equals 806 mod n.
429;b \equiv 680 \mod{n};B is congruent to 680 modulo n.;B is equivalent to 680 under modulo n.;B equals 680 mod n.
430;\delta \equiv 214 \mod{n};Delta is congruent to 214 modulo n.;Delta is equivalent to 214 under modulo n.;Delta equals 214 in mod n.
431;\delta \equiv 411 \mod{n};Delta is congruent to four hundred eleven modulo n.;Delta is equivalent to four hundred eleven under modulo n.;Delta equals four hundred eleven mod n.
432;\eta \equiv 4375 \mod{n};Eta is congruent to four thousand three hundred seventy-five modulo n.;Eta is equivalent to four thousand three hundred seventy-five under modulo n.;Eta equals four thousand three hundred seventy-five mod n.
433;\delta \equiv 958 \mod{n};Delta is congruent to nine hundred and fifty-eight modulo n.;Delta is equivalent to nine fifty-eight mod n.;Delta equals nine hundred and fifty-eight in modulo n.
434;\epsilon \equiv 148 \mod{n};Epsilon is congruent to one hundred and forty-eight modulo n.;Epsilon is equivalent to one forty-eight under modulo n.;Epsilon equals one hundred forty-eight mod n.
435;\alpha \equiv 9136 \mod{n};Alpha is congruent to nine thousand one hundred thirty-six modulo n.;Alpha is equivalent to nine thousand one hundred thirty-six under modulo n.;Alpha equals nine thousand one hundred thirty-six in modulo n.
436; \delta \oplus b = y;Delta direct sum b equals y.;Delta plus b under direct sum operation equals y.;The direct sum of delta and b is y.
437; c \oplus c = \epsilon;C direct sum c equals epsilon.;C plus c under direct sum operation equals epsilon.;The direct sum of c and c is epsilon.
438; a \oplus a = x;A direct sum a equals x.;A plus a under direct sum operation equals x.;The direct sum of a and a is x.
439; x \oplus \delta = x;X direct sum delta equals x.;X plus delta under direct sum operation equals x.;The direct sum of x and delta is x.
440; \eta \oplus \eta = \eta;Eta direct sum eta equals eta.;Eta plus eta under direct sum operation equals eta.;The direct sum of eta and eta is eta.
441; a \oplus c = a;A direct sum c equals a.;A plus c under direct sum operation equals a.;The direct sum of a and c is a.
442; c \oplus \zeta = z;C direct sum zeta equals z.;C plus zeta under direct sum operation equals z.;The direct sum of c and zeta is z.
443; c \oplus a = c;C direct sum a equals c.;C plus a under direct sum operation equals c.;The direct sum of c and a is c.
444; \zeta \oplus \zeta = y;Zeta direct sum zeta equals y.;Zeta plus zeta under direct sum operation equals y.;The direct sum of zeta and zeta is y.
445; \epsilon \oplus \delta = \beta;Epsilon direct sum delta equals beta.;Epsilon plus delta under direct sum operation equals beta.;The direct sum of epsilon and delta is beta.
446; b \oplus c = \eta;B direct sum c equals eta.;B plus c under direct sum operation equals eta.;The direct sum of b and c is eta.
447; a \oplus \eta = \epsilon;A direct sum eta equals epsilon.;A plus eta under direct sum operation equals epsilon.;The direct sum of a and eta is epsilon.
448; y \oplus x = y;Y direct sum x equals y.;Y plus x under direct sum operation equals y.;The direct sum of y and x is y.
449; z \oplus \alpha = \delta;Z direct sum alpha equals delta.;Z plus alpha under direct sum operation equals delta.;The direct sum of z and alpha is delta.
450; b \oplus \eta = x;B direct sum eta equals x.;B plus eta under direct sum operation equals x.;The direct sum of b and eta is x.
451; \eta \oplus \zeta = \zeta;Eta direct sum zeta equals zeta.;Eta plus zeta under direct sum operation equals zeta.;The direct sum of eta and zeta is zeta.
452; \alpha \oplus y = x;Alpha direct sum y equals x.;Alpha plus y under direct sum operation equals x.;The direct sum of alpha and y is x.
453; \epsilon \oplus \alpha = \zeta;Epsilon direct sum alpha equals zeta.;Epsilon plus alpha under direct sum operation equals zeta.;The direct sum of epsilon and alpha is zeta.
454; x \oplus x = c;X direct sum x equals c.;X plus x under direct sum operation equals c.;The direct sum of x and x is c.
455; a \oplus \beta = \zeta;A direct sum beta equals zeta.;A plus beta under direct sum operation equals zeta.;The direct sum of a and beta is zeta.
456;[C|A] = X;C given A equals X.;The conditional probability of C given A is X.;The probability of C occurring given A has occurred equals X.
457;D_A \cup Y_B = B_C;The union of D sub A and Y sub B equals B sub C.;D sub A union Y sub B is equal to B sub C.;The union of D with subscript A and Y with subscript B results in B with subscript C.
458;Y_A \cap X_B = C_D;The intersection of Y sub A and X sub B equals C sub D.;Y sub A intersect X sub B is equal to C sub D.;The common elements of Y sub A and X sub B are represented by C sub D.
459;\cos(x) + \sin(\delta);Cosine of x plus sine of delta.;The sum of the cosine of x and the sine of delta.;Add the cosine of x to the sine of delta.
460;\cos(y) + \sin(c);Cosine of y plus sine of c.;The sum of the cosine of y and the sine of c.;Add the cosine of y to the sine of c.
461;\cos(\beta) + \sin(\beta);Cosine of beta plus sine of beta.;The sum of the cosine of beta and the sine of beta.;Add the cosine of beta to the sine of beta.
462;\cos(\delta) + \sin(\alpha);Cosine of delta plus sine of alpha.;The sum of the cosine of delta and the sine of alpha.;Add the cosine of delta to the sine of alpha.
463;\cos(\epsilon) + \sin(\epsilon);Cosine of epsilon plus sine of epsilon.;The sum of the cosine of epsilon and the sine of epsilon.;Add the cosine of epsilon to the sine of epsilon.
464;\cos(\zeta) + \sin(\zeta);Cosine of zeta plus sine of zeta.;The sum of the cosine of zeta and the sine of zeta.;Add the cosine of zeta to the sine of zeta.
465;\cos(y) + \sin(z);Cosine of y plus sine of z.;The sum of the cosine of y and the sine of z.;Add the cosine of y to the sine of z.
466;\cos(y) + \sin(c);Cosine of y plus sine of c.;The sum of the cosine of y and the sine of c.;Add the cosine of y to the sine of c.
467;\cos(y) + \sin(\delta);Cosine of y plus sine of delta.;The sum of the cosine of y and the sine of delta.;Add the cosine of y to the sine of delta.
468;\cos(b) + \sin(a);Cosine of b plus sine of a.;The sum of the cosine of b and the sine of a.;Add the cosine of b to the sine of a.
469;\cos(a) + \sin(a);Cosine of a plus sine of a.;The sum of the cosine of a and the sine of a.;Add the cosine of a to the sine of a.
470;\cos(x) + \sin(x);Cosine of x plus sine of x.;The sum of the cosine of x and the sine of x.;Add the cosine of x to the sine of x.
471;\cos(b) + \sin(x);Cosine of b plus sine of x.;The sum of the cosine of b and the sine of x.;Add the cosine of b to the sine of x.
472;\cos(\delta) + \sin(b);Cosine of delta plus sine of b.;The sum of the cosine of delta and the sine of b.;Add the cosine of delta to the sine of b.
473;\cos(x) + \sin(z);Cosine of x plus sine of z.;The sum of the cosine of x and the sine of z.;Add the cosine of x to the sine of z.
474;\cos(\zeta) + \sin(y);Cosine of zeta plus sine of y.;The sum of the cosine of zeta and the sine of y.;Add the cosine of zeta to the sine of y.
475;\cos(z) + \sin(z);Cosine of z plus sine of z.;The sum of the cosine of z and the sine of z.;Add the cosine of z to the sine of z.
476;\cos(z) + \sin(c);Cosine of z plus sine of c.;The sum of the cosine of z and the sine of c.;Add the cosine of z to the sine of c.
477;\cos(\eta) + \sin(c);Cosine of eta plus sine of c.;The sum of the cosine of eta and the sine of c.;Add the cosine of eta to the sine of c.
478;\cos(\alpha) + \sin(\delta);Cosine of alpha plus sine of delta.;The sum of the cosine of alpha and the sine of delta.;Add the cosine of alpha to the sine of delta.
479; \epsilon \otimes z = \beta;Epsilon tensor z equals beta.;Epsilon tensored with z is equal to beta.;The tensor product of epsilon and z gives us beta.
480; \zeta \otimes \zeta = a;Zeta tensor zeta equals a.;Zeta tensored with zeta is equal to a.;The tensor product of zeta and zeta gives us a.
481; y \otimes \zeta = \epsilon;Y tensor zeta equals epsilon.;Y tensored with zeta is equal to epsilon.;The tensor product of y and zeta gives us epsilon.
482; y \otimes y = c;Y tensor y equals c.;Y tensored with y is equal to c.;The tensor product of y and y gives us c.
483; b \otimes a = \zeta;B tensor a equals zeta.;B tensored with a is equal to zeta.;The tensor product of b and a gives us zeta.
484; y \otimes b = \eta;Y tensor b equals eta.;Y tensored with b is equal to eta.;The tensor product of y and b gives us eta.
485; b \otimes \delta = a;B tensor delta equals a.;B tensored with delta is equal to a.;The tensor product of b and delta gives us a.
486; \zeta \otimes x = a;Zeta tensor x equals a.;Zeta tensored with x is equal to a.;The tensor product of zeta and x gives us a.
487; \epsilon \otimes \beta = \gamma;Epsilon tensor beta equals gamma.;Epsilon tensored with beta is equal to gamma.;The tensor product of epsilon and beta gives us gamma.
488; b \otimes c = b;B tensor c equals b.;B tensored with c is equal to b.;The tensor product of b and c gives us b.
489; z \otimes y = \beta;Z tensor y equals beta.;Z tensored with y is equal to beta.;The tensor product of z and y gives us beta.
490; y \otimes a = \epsilon;Y tensor a equals epsilon.;Y tensored with a is equal to epsilon.;The tensor product of y and a gives us epsilon.
491; z \otimes \zeta = a;Z tensor zeta equals a.;Z tensored with zeta is equal to a.;The tensor product of z and zeta gives us a.
492; a \otimes \beta = c;A tensor beta equals c.;A tensored with beta is equal to c.;The tensor product of a and beta gives us c.
493; y \otimes c = \gamma;Y tensor c equals gamma.;Y tensored with c is equal to gamma.;The tensor product of y and c gives us gamma.
494; z \otimes y = b;Z tensor y equals b.;Z tensored with y is equal to b.;The tensor product of z and y gives us b.
495; \epsilon \otimes y = y;Epsilon tensor y equals y.;Epsilon tensored with y is equal to y.;The tensor product of epsilon and y gives us y.
496; z \otimes x = b;Z tensor x equals b.;Z tensored with x is equal to b.;The tensor product of z and x gives us b.
497; c \otimes \beta = y;C tensor beta equals y.;C tensored with beta is equal to y.;The tensor product of c and beta gives us y.
498; z \otimes c = a;Z tensor c equals a.;Z tensored with c is equal to a.;The tensor product of z and c gives us a.
499; \zeta \odot \alpha = x;Zeta circle dot alpha equals x.;Zeta tensor product alpha is equal to x.;The tensor product of zeta and alpha gives us x.
500; \alpha \odot z = x;Alpha circle dot z equals x.;Alpha tensor product z is equal to x.;The tensor product of alpha and z gives us x.
501; b \odot y = c;B circle dot y equals c.;B tensor product y is equal to c.;The tensor product of b and y gives us c.
502; y \odot c = \zeta;Y circle dot c equals zeta.;Y tensor product c is equal to zeta.;The tensor product of y and c gives us zeta.
503; \alpha \odot \zeta = \delta;Alpha circle dot zeta equals delta.;Alpha tensor product zeta is equal to delta.;The tensor product of alpha and zeta gives us delta.
504; y \odot \epsilon = b;Y circle dot epsilon equals b.;Y tensor product epsilon is equal to b.;The tensor product of y and epsilon gives us b.
505; y \odot \alpha = \alpha;Y circle dot alpha equals alpha.;Y tensor product alpha is equal to alpha.;The tensor product of y and alpha gives us alpha.
506; a \odot a = b;A circle dot a equals b.;A tensor product a is equal to b.;The tensor product of a and a gives us b.
507; \zeta \odot b = b;Zeta circle dot b equals b.;Zeta tensor product b is equal to b.;The tensor product of zeta and b gives us b.
508; a \odot b = \epsilon;A circle dot b equals epsilon.;A tensor product b is equal to epsilon.;The tensor product of a and b gives us epsilon.
509; x \odot \epsilon = \eta;X circle dot epsilon equals eta.;X tensor product epsilon is equal to eta.;The tensor product of x and epsilon gives us eta.
510; c \odot \eta = c;C circle dot eta equals c.;C tensor product eta is equal to c.;The tensor product of c and eta gives us c.
511; \epsilon \odot z = \epsilon;Epsilon circle dot z equals epsilon.;Epsilon tensor product z is equal to epsilon.;The tensor product of epsilon and z gives us epsilon.
512; \alpha \odot \alpha = \delta;Alpha circle dot alpha equals delta.;Alpha tensor product alpha is equal to delta.;The tensor product of alpha and alpha gives us delta.
513; b \odot y = \alpha;B circle dot y equals alpha.;B tensor product y is equal to alpha.;The tensor product of b and y gives us alpha.
514; \zeta \odot a = \zeta;Zeta circle dot a equals zeta.;Zeta tensor product a is equal to zeta.;The tensor product of zeta and a gives us zeta.
515; \eta \odot y = y;Eta circle dot y equals y.;Eta tensor product y is equal to y.;The tensor product of eta and y gives us y.
516; \delta \odot \delta = \gamma;Delta circle dot delta equals gamma.;Delta tensor product delta is equal to gamma.;The tensor product of delta and delta gives us gamma.
517; x \odot b = x;X circle dot b equals x.;X tensor product b is equal to x.;The tensor product of x and b gives us x.
518; \eta \odot a = x;Eta circle dot a equals x.;Eta tensor product a is equal to x.;The tensor product of eta and a gives us x.
519;[\eta_1, \delta_2, \ldots, \eta_n]^T;The transpose of the vector with elements eta one, delta two, through to eta n.;A vector transposed, with elements from eta one and delta two, up to eta n.;The transposed vector containing elements eta one, delta two, all the way to eta n.
520;[z_1, \beta_2, \ldots, \delta_n]^T;The transpose of the vector with elements z one, beta two, through to delta n.;A vector transposed, with elements from z one and beta two, up to delta n.;The transposed vector containing elements z one, beta two, all the way to delta n.
521;[y_1, x_2, \ldots, z_n]^T;The transpose of the vector with elements y one, x two, through to z n.;A vector transposed, with elements from y one and x two, up to z n.;The transposed vector containing elements y one, x two, all the way to z n.
522;[\epsilon_1, x_2, \ldots, x_n]^T;The transpose of the vector with elements epsilon one, x two, through to x n.;A vector transposed, with elements from epsilon one and x two, up to x n.;The transposed vector containing elements epsilon one, x two, all the way to x n.
523;[\eta_1, \beta_2, \ldots, c_n]^T;The transpose of the vector with elements eta one, beta two, through to c n.;A vector transposed, with elements from eta one and beta two, up to c n.;The transposed vector containing elements eta one, beta two, all the way to c n.
524;[\zeta_1, x_2, \ldots, \delta_n]^T;The transpose of the vector with elements zeta one, x two, through to delta n.;A vector transposed, with elements from zeta one and x two, up to delta n.;The transposed vector containing elements zeta one, x two, all the way to delta n.
525;[\zeta_1, z_2, \ldots, \gamma_n]^T;The transpose of the vector with elements zeta one, z two, through to gamma n.;A vector transposed, with elements from zeta one and z two, up to gamma n.;The transposed vector containing elements zeta one, z two, all the way to gamma n.
526;[y_1, \zeta_2, \ldots, \alpha_n]^T;The transpose of the vector with elements y one, zeta two, through to alpha n.;A vector transposed, with elements from y one and zeta two, up to alpha n.;The transposed vector containing elements y one, zeta two, all the way to alpha n.
527;[a_1, \beta_2, \ldots, \eta_n]^T;The transpose of the vector with elements a one, beta two, through to eta n.;A vector transposed, with elements from a one and beta two, up to eta n.;The transposed vector containing elements a one, beta two, all the way to eta n.
528;[c_1, c_2, \ldots, \alpha_n]^T;The transpose of the vector with elements c one, c two, through to alpha n.;A vector transposed, with elements from c one and c two, up to alpha n.;The transposed vector containing elements c one, c two, all the way to alpha n.
529;[\alpha_1, a_2, \ldots, \beta_n]^T;The transpose of the vector with elements alpha one, a two, through to beta n.;A vector transposed, with elements from alpha one and a two, up to beta n.;The transposed vector containing elements alpha one, a two, all the way to beta n.
530;[\alpha_1, \zeta_2, \ldots, \zeta_n]^T;The transpose of the vector with elements alpha one, zeta two, through to zeta n.;A vector transposed, with elements from alpha one and zeta two, up to zeta n.;The transposed vector containing elements alpha one, zeta two, all the way to zeta n.
531;[x_1, a_2, \ldots, \eta_n]^T;The transpose of the vector with elements x one, a two, through to eta n.;A vector transposed, with elements from x one and a two, up to eta n.;The transposed vector containing elements x one, a two, all the way to eta n.
532;[\epsilon_1, y_2, \ldots, z_n]^T;The transpose of the vector with elements epsilon one, y two, through to z n.;A vector transposed, with elements from epsilon one and y two, up to z n.;The transposed vector containing elements epsilon one, y two, all the way to z n.
533;[x_1, \delta_2, \ldots, \epsilon_n]^T;The transpose of the vector with elements x one, delta two, through to epsilon n.;A vector transposed, with elements from x one and delta two, up to epsilon n.;The transposed vector containing elements x one, delta two, all the way to epsilon n.
534;[\beta_1, \beta_2, \ldots, b_n]^T;The transpose of the vector with elements beta one, beta two, through to b n.;A vector transposed, with elements from beta one and beta two, up to b n.;The transposed vector containing elements beta one, beta two, all the way to b n.
535;[b_1, y_2, \ldots, \eta_n]^T;The transpose of the vector with elements b one, y two, through to eta n.;A vector transposed, with elements from b one and y two, up to eta n.;The transposed vector containing elements b one, y two, all the way to eta n.
536;[c_1, y_2, \ldots, x_n]^T;The transpose of the vector with elements c one, y two, through to x n.;A vector transposed, with elements from c one and y two, up to x n.;The transposed vector containing elements c one, y two, all the way to x n.
537;[x_1, b_2, \ldots, \beta_n]^T;The transpose of the vector with elements x one, b two, through to beta n.;A vector transposed, with elements from x one and b two, up to beta n.;The transposed vector containing elements x one, b two, all the way to beta n.
538;[\delta_1, \alpha_2, \ldots, \alpha_n]^T;The transpose of the vector with elements delta one, alpha two, through to alpha n.;A vector transposed, with elements from delta one and alpha two, up to alpha n.;The transposed vector containing elements delta one, alpha two, all the way to alpha n.
539;\gcd(4177, 456) = 854;The greatest common divisor of 427 and 456 equals 854.;GCD of 427 and 456 is 854.;The highest common factor of 427 and 456 is 854.
540;\gcd(600, 1662) = 991;The greatest common divisor of 600 and 128 equals 991.;GCD of 600 and 128 is 991.;The highest common factor of 600 and 128 is 991.
541;\gcd(166, 617) = 559;The greatest common divisor of 166 and 617 equals 559.;GCD of 166 and 617 is 559.;The highest common factor of 166 and 617 is 559.
542;\gcd(499, 635) = 489;The greatest common divisor of 499 and 635 equals 489.;GCD of 499 and 635 is 489.;The highest common factor of 499 and 635 is 489.
543;\gcd(101, 542) = 800;The greatest common divisor of 101 and 542 equals 800.;GCD of 101 and 542 is 800.;The highest common factor of 101 and 542 is 800.
544;\gcd(914, 223) = 593;The greatest common divisor of 914 and 223 equals 593.;GCD of 914 and 223 is 593.;The highest common factor of 914 and 223 is 593.
545;\gcd(519, 767) = 722;The greatest common divisor of 519 and 767 equals 722.;GCD of 519 and 767 is 722.;The highest common factor of 519 and 767 is 722.
546;\gcd(562, 354) = 476;The greatest common divisor of 562 and 354 equals 476.;GCD of 562 and 354 is 476.;The highest common factor of 562 and 354 is 476.
547;\gcd(350, 409) = 136;The greatest common divisor of 350 and 409 equals 136.;GCD of 350 and 409 is 136.;The highest common factor of 350 and 409 is 136.
548;\gcd(6424, 761) = 5477;The greatest common divisor of 626 and 761 equals 528.;GCD of 626 and 761 is 528.;The highest common factor of 626 and 761 is 528.
549;\gcd(867, 101) = 584;The greatest common divisor of 867 and 101 equals 584.;GCD of 867 and 101 is 584.;The highest common factor of 867 and 101 is 584.
550;\gcd(499, 5250) = 525;The greatest common divisor of 499 and 250 equals 525.;GCD of 499 and 250 is 525.;The highest common factor of 499 and 250 is 525.
551;\gcd(391, 8535) = 493;The greatest common divisor of 391 and 827 equals 493.;GCD of 391 and 827 is 493.;The highest common factor of 391 and 827 is 493.
552;\gcd(634, 611) = 2353;The greatest common divisor of 634 and 611 equals 226.;GCD of 634 and 611 is 226.;The highest common factor of 634 and 611 is 226.
553;\gcd(829, 956) = 703;The greatest common divisor of 829 and 956 equals 703.;GCD of 829 and 956 is 703.;The highest common factor of 829 and 956 is 703.
554;\gcd(6, 687) = 250;The greatest common divisor of 6 and 687 equals 250.;GCD of 6 and 687 is 250.;The highest common factor of 6 and 687 is 250.
555;\gcd(614, 940) = 88;The greatest common divisor of 614 and 940 equals 88.;GCD of 614 and 940 is 88.;The highest common factor of 614 and 940 is 88.
556;\gcd(500, 168) = 170;The greatest common divisor of 500 and 168 equals 170.;GCD of 500 and 168 is 170.;The highest common factor of 500 and 168 is 170.
557;\gcd(416, 5529) = 552;The greatest common divisor of 416 and 259 equals 552.;GCD of 416 and 259 is 552.;The highest common factor of 416 and 259 is 552.
558;\gcd(39, 358) = 907;The greatest common divisor of 39 and 358 equals 907.;GCD of 39 and 358 is 907.;The highest common factor of 39 and 358 is 907.
559;\text{{LCM}}(861, 6959) = 959;The least common multiple of 861 and 6959 equals 959.;LCM of 861 and 6959 is 959.;The smallest multiple that 861 and 6959 share is 959.
560;\text{{LCM}}(956, 45) = 657;The least common multiple of 956 and 45 equals 657.;LCM of 956 and 45 is 657.;The smallest multiple that 956 and 45 share is 657.
561;\text{{LCM}}(17, 777) = 844;The least common multiple of 17 and 777 equals 844.;LCM of 17 and 777 is 844.;The smallest multiple that 17 and 777 share is 844.
562;\text{{LCM}}(910, 5735) = 735;The least common multiple of 910 and 5735 equals 735.;LCM of 910 and 5735 is 735.;The smallest multiple that 910 and 5735 share is 735.
563;\text{{LCM}}(161, 974) = 245;The least common multiple of 161 and 974 equals 9745.;LCM of 161 and 974 is 9745.;The smallest multiple that 161 and 974 share is 9745.
564;\text{{LCM}}(39, 919) = 2464;The least common multiple of 39 and 919 equals 91964.;LCM of 39 and 919 is 91964.;The smallest multiple that 39 and 919 share is 91964.
565;\text{{LCM}}(793, 832) = 216;The least common multiple of 793 and 832 equals 216.;LCM of 793 and 832 is 216.;The smallest multiple that 793 and 832 share is 216.
566;\text{{LCM}}(57, 904) = 312;The least common multiple of 57 and 904 equals 312.;LCM of 57 and 904 is 312.;The smallest multiple that 57 and 904 share is 312.
567;\text{{LCM}}(582, 967) = 678;The least common multiple of 582 and 967 equals 678.;LCM of 582 and 967 is 678.;The smallest multiple that 582 and 967 share is 678.
568;\text{{LCM}}(131, 583) = 743;The least common multiple of 131 and 583 equals 743.;LCM of 131 and 583 is 743.;The smallest multiple that 131 and 583 share is 743.
569;\text{{LCM}}(743, 348) = 671;The least common multiple of 743 and 348 equals 671.;LCM of 743 and 348 is 671.;The smallest multiple that 743 and 348 share is 671.
570;\text{{LCM}}(385, 758) = 977;The least common multiple of 385 and 758 equals 977.;LCM of 385 and 758 is 977.;The smallest multiple that 385 and 758 share is 977.
571;\text{{LCM}}(380, 290) = 332;The least common multiple of 380 and 290 equals 332.;LCM of 380 and 290 is 332.;The smallest multiple that 380 and 290 share is 332.
572;\text{{LCM}}(75, 316) = 796;The least common multiple of 75 and 316 equals 796.;LCM of 75 and 316 is 796.;The smallest multiple that 75 and 316 share is 796.
573;\text{{LCM}}(671, 710) = 565;The least common multiple of 671 and 710 equals 565.;LCM of 671 and 710 is 565.;The smallest multiple that 671 and 710 share is 565.
574;\text{{LCM}}(6189, 605) = 8498;The least common multiple of 6189 and 605 equals 8498.;LCM of 6189 and 605 is 8498.;The smallest multiple that 6189 and 605 share is 8498.
575;\text{{LCM}}(3851, 61) = 385;The least common multiple of 3851 and 61 equals 385.;LCM of 3851 and 61 is 385.;The smallest multiple that 3851 and 61 share is 385.
576;\text{{LCM}}(604, 855) = 986;The least common multiple of 604 and 855 equals 986.;LCM of 604 and 855 is 986.;The smallest multiple that 604 and 855 share is 986.
577;\text{{LCM}}(103, 309) = 832;The least common multiple of 103 and 309 equals 832.;LCM of 103 and 309 is 832.;The smallest multiple that 103 and 309 share is 832.
578;\text{{LCM}}(519, 930) = 408;The least common multiple of 519 and 930 equals 408.;LCM of 519 and 930 is 408.;The smallest multiple that 519 and 930 share is 408.
579;\mathbb{C};C in the set of complex numbers.;C as a member of the complex number set.;C belonging to the complex numbers.
580;\ker(D);Kernel of D.;The null space of D.;The set of all vectors that D maps to zero.
581;\text{{Im}}(A);The imaginary part of A.;Imaginary component of A.;Imaginary value of A.
